,Unnamed: 0,title,price,link_item,index,discount,sales,brand,category,revenue
36,36,Điện thoại bàn Panasonic KX-TGC310 hàng chính hãng,1050000,https://tiki.vn/dien-thoai-ban-panasonic-kx-tgc310-hang-chinh-hang-p181928208.html?spid=181928209,23.0,,43.0,Panasonic,dienthoaiban,45150000.0
37,37,Tay con điện thoại bàn Panasonic TGCA30- Hàng chính hãng,750000,https://tiki.vn/tay-con-die-n-thoa-i-ban-panasonic-tg-p252884932.html?spid=252884933,24.0,,1.0,Panasonic,dienthoaiban,750000.0
38,38,Điện thoại Panasonic KX-TGF310CX -Hàng chính hãng,2299000,https://tiki.vn/dien-thoai-panasonic-kx-tgf310cx-hang-chinh-hang-p118139108.html?spid=118139109,25.0,,29.0,Panasonic,dienthoaiban,66671000.0
39,39,Điện Thoại Bàn Panasonic KXTS 520 - Hàng Chính Hãng,469000,https://tiki.vn/dien-thoai-ban-panasonic-kxts-520-hang-chinh-hang-p4059671.html?spid=36671794,26.0,,79.0,Panasonic,dienthoaiban,37051000.0
40,40,Điện thoại để bàn Panasonic KX TSC11MX hàng chính hãng,650000,https://tiki.vn/dien-thoai-de-ban-panasonic-kx-tsc11mx-hang-chinh-hang-p16523479.html?spid=49302185,27.0,,90.0,Panasonic,dienthoaiban,58500000.0
41,41,Điện thoại bàn không dây Panasonic KX-TGD312 - Hàng Chính Hãng,1920000,https://tiki.vn/dien-thoai-ban-khong-day-panasonic-kx-tgd312-hang-chinh-hang-p11251711.html?spid=53559453,28.0,,9.0,Panasonic,dienthoaiban,17280000.0
42,42,Điện Thoại Bàn Panasonic KXTGF310CX - Hàng Chính Hãng,2250000,https://tiki.vn/dien-thoai-ban-panasonic-kxtgf310cx-hang-chinh-hang-p4065251.html?spid=44164121,29.0,,3.0,Panasonic,dienthoaiban,6750000.0
43,43,Điện thoại bàn không dây Panasonic KX-TGD310 - Hàng Chính Hãng,1280000,https://tiki.vn/dien-thoai-ban-khong-day-panasonic-kx-tgd310-hang-chinh-hang-p11251770.html?spid=53559078,30.0,,18.0,Panasonic,dienthoaiban,23040000.0
44,44,Điện Thoại Bàn Panasonic KX-TSC11 - Hàng Chính Hãng,620000,https://tiki.vn/dien-thoai-ban-panasonic-kx-tsc11-hang-chinh-hang-p125171841.html?spid=125171849,31.0,,26.0,Panasonic,dienthoaiban,16120000.0
45,45,Điện Thoại Bàn Panasonic KX-TSC11,639000,https://tiki.vn/dien-thoai-ban-panasonic-kx-tsc11-hang-chinh-hang-p4048581.html?spid=26683926,32.0,,63.0,Panasonic,dienthoaiban,40257000.0
46,46,Điện thoại Panasonic KX-TS520MX - Trắng - Hàng chính hãng,450000,https://tiki.vn/dien-thoai-panasonic-kx-ts520mx-trang-hang-chinh-hang-p113475741.html?spid=113475742,33.0,,8.0,Panasonic,dienthoaiban,3600000.0
47,47,Điện thoại để bàn Panasonic KX-TS880 hàng chính hãng,1250000,https://tiki.vn/dien-thoai-de-ban-panasonic-kx-ts880-hang-chinh-hang-p16521748.html?spid=43336431,34.0,,3.0,Panasonic,dienthoaiban,3750000.0
48,48,Điện thoại bàn Panasonic KX-TS580 hàng chính hãng,999000,https://tiki.vn/dien-thoai-ban-panasonic-kx-ts580-hang-chinh-hang-p170727305.html?spid=185711237,35.0,,1.0,Panasonic,dienthoaiban,999000.0
49,49,Điện Thoại Để Bàn Panasonic KX-TS500MX - Hàng Chính Hãng,380000,https://tiki.vn/dien-thoai-de-ban-panasonic-kx-ts500mx-hang-chinh-hang-p157835051.html?spid=157835053,36.0,,7.0,Panasonic,dienthoaiban,2660000.0
50,50,Điện thoại bàn không dây Panasonic KX-TGC313 - Hàng Chính Hãng,2100000,https://tiki.vn/dien-thoai-ban-khong-day-panasonic-kx-tgc313-hang-chinh-hang-p23142193.html?spid=53536558,37.0,,14.0,Panasonic,dienthoaiban,29400000.0
51,51,ĐIỆN THOẠI CỐ ĐỊNH PANASONIC KX-TS580MX,940000,https://tiki.vn/dien-thoai-co-dinh-panasonic-kx-ts580mx-hang-chinh-hang-p11415485.html?spid=53635663,38.0,,28.0,Panasonic,dienthoaiban,26320000.0
52,52,Điện thoại bàn không dây Panasonic KX-TGF320 - Hàng Chính Hãng,2500000,https://tiki.vn/dien-thoai-ban-khong-day-panasonic-kx-tgf320-hang-chinh-hang-p11110653.html?spid=53559897,39.0,,21.0,Panasonic,dienthoaiban,52500000.0
53,53,Điện thoại cố định Panasonic KX-TS520MX ( màu đen)-Hàng chính hãng,469000,https://tiki.vn/dien-thoai-de-ban-panasonic-kx-ts520mx-mau-den-hang-chinh-hang-p258668285.html?spid=258668286,40.0,,,Panasonic,dienthoaiban,
54,54,Điện thoại để bàn Panasonic KX-TS580 hàng chính hãng,850000,https://tiki.vn/dien-thoai-de-ban-panasonic-kx-ts580-hang-chinh-hang-p16518729.html?spid=43982425,41.0,,3.0,Panasonic,dienthoaiban,2550000.0
55,55,Điện thoại kéo dài Panasonic KX-TGC210 - Hàng chính hãng,1110000,https://tiki.vn/dien-thoai-keo-dai-panasonic-kx-tgc210-hang-chinh-hang-p11251935.html?spid=113394438,42.0,,10.0,Panasonic,dienthoaiban,11100000.0
56,56,Điện thoại để bàn Panasonic KX-TS880 hàng chính hãng,1060000,https://tiki.vn/dien-thoai-de-ban-panasonic-kx-ts880-hang-chinh-hang-p192694043.html?spid=53635751,43.0,,13.0,Panasonic,dienthoaiban,13780000.0
57,57,Điện thoại bàn Panasonic KX-TS560 hàng chính hãng,688000,https://tiki.vn/dien-thoai-ban-panasonic-kx-ts560-hang-chinh-hang-p170727266.html?spid=170727270,44.0,,48.0,Panasonic,dienthoaiban,33024000.0
58,58,Điện thoại bàn treo tường TC990,250000,https://tka.tiki.vn/pixel/pixel?data=ABf5nu6SXBDat-sSB7ky27VeE-IaDyt9FAnyRO_RsHOolwhp-bmJuM-n9XsyE2uuM12g-tc42aBr2F9vZXaFYFdS2jx6xWVAj9DTKHZMIoHEXaWyWZ9qUDF3d8hXERgmIpqqIgXPdqRvOYnTde_OfauZbtjs2OoD-nmugEsLCQIWRRWlfPB23E1JYvFVOJBUtCW3aQfG-Oq_zd4MzOc9YP6m2tlAgS0Pwno0nelx9UPe-6y_ll4UMf7exIlzw3XbCRbW_IW7JHf2-aMtvVv2oaIST2d32td0Ran15evvKcHpPvs0P0Dhhp3IGIQLOsW_kbLFlfnuWzOw8ivP5a4g-BagTDaStbYSL_SAzM1E4QD7KaHR8NlgJTCP8IkRv1eqUpcnXfnEFHGiIQRpNQEbEoPXxNvtGjU8LfopJAbjtDz7b8HDaFyAJxjvFsEGovCzNVN5ITfULIUB8_XYOVBT_kCfat0tp7MP75pOnTlv_gafn5reMzEx0x0O0ltg8drrLFVFqeyLOiXrihgKMyPYe9fHzqrbW-BIRGFN3Y1iM6ishltJsmxhoYkMJvIcF18-Js16ZDC5zVJyt_7aiXcYodj3UJZxa7k-JmqiWeWMyRgAWZLA3PQ1xVhMfUZJe0LC8ehvlOYzCGBiE_TG-2q2kIGe_rOG987OpfE7-eQYREjqzsX3tVmDupLIHyDgxsUtPVi6tRK0bsygZ1x3oJOikXyd8GYHrKJZ1FBYeWGsgP4VKLCGV5AbqftdJCC0NFtgJy-bXbZDWMvUnYVBvv7O3crmfd-wGGJSiO8OYEDh1BfHay8A09HABsSMSq17Sg_Ut_-e4SSKqhNNJ4D0u86Ntbbg4PvGt91kMlMD9d0y-V500efdWiCApSZsOP564md4TaPpyDnpIjcJ0XcN5END2UHDL9dtMb9rWm7rXVwdceJuGr7qJKMhFrS4goBNrNGOJRdgnnwAQVs-r3Hn1zzB9rfRhwkj2ietWlif3lL35ZfJsU3kcJ05NHpqdFFcxK0A0dXmWn6E13UCTw85cFVmsDOPIQsDOVb1E4kfqC6TgT427ca5Ecn2uDw7wg&reqid=Kf7bEWPrMXAGiIgJ&type=CLICK&pos=1,1.0,,21.0,Uniden,dienthoaiban,5250000.0
59,59,Điện thoại bàn treo tường TC990,250000,https://tiki.vn/dien-thoai-ban-uniden-as-7101-hanh-chinh-hang-p173789184.html?spid=173789188,2.0,,21.0,Uniden,dienthoaiban,5250000.0
60,60,Yealink W73P - Điện thoại IP cầm tay không dây DECT - Hàng Chính Hãng - Điện thoại IP mẹ bồng con,3000000,https://tiki.vn/yealink-w73p-dien-thoai-ip-cam-tay-khong-day-dect-hang-chinh-hang-dien-thoai-ip-me-bong-con-p220670303.html?spid=220670304,1.0,,,Yealink,dienthoaiban,
61,61,ĐIỆN THOẠI HỘI NGHỊ YEALINK CP960 -HÀNG CHÍNH HÃNG,15230000,https://tiki.vn/dien-thoai-hoi-nghi-yealink-cp960-p117347869.html?spid=125595231,2.0,,,Yealink,dienthoaiban,
62,62,Điện thoại bàn DECT không dây Yealink W73H có chân đế - Hàng chính hãng,2200000,https://tiki.vn/dien-thoai-ban-dect-khong-day-yealink-w73h-co-chan-de-tuong-thich-voi-yealink-w73p-p220678495.html?spid=220678496,3.0,,,Yealink,dienthoaiban,
63,63,Điện thoại VoIP Yealink SIP-T30,1050000,https://tiki.vn/dien-thoai-voip-yealink-sip-t30-p94453667.html?spid=94453668,4.0,,,Yealink,dienthoaiban,
64,64,Điện thoại VoIP Yealink SIP-T30 - Hàng Chính Hãng,1200000,https://tiki.vn/dien-thoai-voip-yealink-sip-t30-hang-chinh-hang-p102620086.html?spid=102620089,5.0,,,Yealink,dienthoaiban,
