,title,price,link_item,index,discount,sales,brand,category,revenue
47,Điện thoại để bàn Panasonic KX-TS880 hàng chính hãng,1250000,https://tiki.vn/dien-thoai-de-ban-panasonic-kx-ts880-hang-chinh-hang-p16521748.html?spid=43336431,34,,3.0,Panasonic,dienthoaiban,3750000.0
48,Điện thoại bàn Panasonic KX-TS580 hàng chính hãng,999000,https://tiki.vn/dien-thoai-ban-panasonic-kx-ts580-hang-chinh-hang-p170727305.html?spid=185711237,35,,1.0,Panasonic,dienthoaiban,999000.0
49,Điện Thoại Để Bàn Panasonic KX-TS500MX - Hàng Chính Hãng,380000,https://tiki.vn/dien-thoai-de-ban-panasonic-kx-ts500mx-hang-chinh-hang-p157835051.html?spid=157835053,36,,7.0,Panasonic,dienthoaiban,2660000.0
50,Điện thoại bàn không dây Panasonic KX-TGC313 - Hàng Chính Hãng,2100000,https://tiki.vn/dien-thoai-ban-khong-day-panasonic-kx-tgc313-hang-chinh-hang-p23142193.html?spid=53536558,37,,14.0,Panasonic,dienthoaiban,29400000.0
51,ĐIỆN THOẠI CỐ ĐỊNH PANASONIC KX-TS580MX,940000,https://tiki.vn/dien-thoai-co-dinh-panasonic-kx-ts580mx-hang-chinh-hang-p11415485.html?spid=53635663,38,,28.0,Panasonic,dienthoaiban,26320000.0
52,Điện thoại bàn không dây Panasonic KX-TGF320 - Hàng Chính Hãng,2500000,https://tiki.vn/dien-thoai-ban-khong-day-panasonic-kx-tgf320-hang-chinh-hang-p11110653.html?spid=53559897,39,,21.0,Panasonic,dienthoaiban,52500000.0
53,Điện thoại cố định Panasonic KX-TS520MX ( màu đen)-Hàng chính hãng,469000,https://tiki.vn/dien-thoai-de-ban-panasonic-kx-ts520mx-mau-den-hang-chinh-hang-p258668285.html?spid=258668286,40,,,Panasonic,dienthoaiban,
54,Điện thoại để bàn Panasonic KX-TS580 hàng chính hãng,850000,https://tiki.vn/dien-thoai-de-ban-panasonic-kx-ts580-hang-chinh-hang-p16518729.html?spid=43982425,41,,3.0,Panasonic,dienthoaiban,2550000.0
55,Điện thoại kéo dài Panasonic KX-TGC210 - Hàng chính hãng,1110000,https://tiki.vn/dien-thoai-keo-dai-panasonic-kx-tgc210-hang-chinh-hang-p11251935.html?spid=113394438,42,,10.0,Panasonic,dienthoaiban,11100000.0
56,Điện thoại để bàn Panasonic KX-TS880 hàng chính hãng,1060000,https://tiki.vn/dien-thoai-de-ban-panasonic-kx-ts880-hang-chinh-hang-p192694043.html?spid=53635751,43,,13.0,Panasonic,dienthoaiban,13780000.0
57,Điện thoại bàn Panasonic KX-TS560 hàng chính hãng,688000,https://tiki.vn/dien-thoai-ban-panasonic-kx-ts560-hang-chinh-hang-p170727266.html?spid=170727270,44,,48.0,Panasonic,dienthoaiban,33024000.0
