,title,price,link_item,index,discount,sales
4,,,https://tiki.vn/kem-nen-trang-diem-eveline-skinlovers-blooming-foundation-40ml-p214361.html?spid=14643390,5,-40%,
5,Set son dưỡng Whoo màu hồng da tặng son kem màu 88,650.000₫,https://tiki.vn/set-son-duong-whoo-mau-hong-da-tang-son-kem-mau-88-p214823909.html?spid=214823910,6,,
6,Chì Kẻ Môi Quyến Rũ Mik@Vonk Professional Lipliner Pencil Hàn Quốc #05 Màu hồng tặng kèm móc khoá - 1 cây,79.000₫,https://tiki.vn/chi-ke-moi-quyen-ru-mik-vonk-professional-lipliner-pencil-han-quoc-05-mau-hong-tang-kem-moc-khoa-1-cay-p20706082.html?spid=20706083,7,-10%,Đã bán 10
7,Bảng Phấn Mắt Daisy Doll Nhật Bản Siêu Bền Màu Với 4 Màu Trang Điểm Đa Chức Năng Phấn Má Hồng Phấn Bắt Sáng 5.1g,299.000₫,https://tiki.vn/bang-phan-mat-daisy-doll-nhat-ban-sieu-ben-mau-voi-4-mau-trang-diem-da-chuc-nang-phan-ma-hong-phan-bat-sang-5-1g-p259520650.html?spid=259520664,8,-2%,Đã bán 1
8,0104631 Bộ cọ trang điểm & bông phấn nền Basicare 1660,179.000₫,https://tiki.vn/0104631-bo-co-trang-diem-bong-phan-nen-basicare-1660-p129917020.html?spid=129917024,9,-29%,Đã bán 4
9,,,https://tiki.vn/may-uon-mi-dien-thong-minh-kep-uon-mi-nhiet-da-nang-nho-gon-lam-cong-nhanh-chong-kem-sac-usb-tien-loi-hang-chinh-hang-miniin-p248770059.html?spid=248770060,10,-5%,
10,[MAYBELLINE NEW YORK] Kem Che Khuyết Điểm Mịn Lì Tệp Mọi Tông Da Tối Ưu Fit Me Concealer 6.8ml,150.000₫,https://tiki.vn/maybelline-new-york-kem-che-khuyet-diem-min-li-tep-moi-tong-da-toi-uu-fit-me-concealer-6-8ml-p253284067.html?spid=253284073,11,-46%,Đã bán 7
11,"Dán Kích Mí Lưới Cuộn 200 Đôi, Màu Da Tự Nhiên, Nhiều Tùy Chọn Phù Hợp, Trang Điểm Tạo Đôi Mắt To Tròn 2 Mí, Không Bong Tróc, Bám Phấn, Ẩn Dấu Tự Nhiên Sau Lớp Makeup, Không Tạo Vết Hằn Trên Mi Mắt Nên Tránh Bị Lộ, Dễ Sử Dụng Với Dụng Cụ Kèm Theo, Nhỏ Gọn",55.000₫,https://tiki.vn/dan-kich-mi-luoi-cuon-200-doi-mau-da-tu-nhien-nhieu-tuy-chon-phu-hop-trang-diem-tao-doi-mat-to-tron-2-mi-khong-bong-troc-bam-phan-an-dau-tu-nhien-sau-lop-makeup-khong-tao-vet-han-tren-mi-mat-nen-tranh-bi-lo-de-su-dung-voi-dung-cu-kem-theo-nho-gon-va-tiet-kiem-p74863189.html?spid=74863197,12,-20%,Đã bán 43
12,,,https://tiki.vn/kem-nen-bb-focallure-fluid-foundation-che-khuyet-diem-duong-am-chong-nang-31g-p204900487.html?spid=204900493,13,,
13,0106218 Bông phấn trang điểm MUST 6220,22.000₫,https://tiki.vn/0106218-bong-phan-trang-diem-must-6220-p129916849.html?spid=129916852,14,-36%,Đã bán 4
14,Bảng Phấn Mắt 7 Màu Espoir Real Eye Palette 7.1gr,428.000₫,https://tiki.vn/bang-phan-mat-7-mau-espoir-real-eye-palette-7-1gr-p273399425.html?spid=273402063,15,-9%,
15,Son xăm lì siêu mịn không trôi Mira Aroma Tattoo Liptint Hàn Quốc 6g tặng kèm móc khoá,139.000₫,https://tiki.vn/son-xam-li-sieu-min-khong-troi-mira-aroma-tattoo-liptint-han-quoc-6g-tang-kem-moc-khoa-p20892522.html?spid=20892527,16,-35%,Đã bán 13
16,Dụng cụ vẽ mắt đa năng,22.000₫,https://tiki.vn/dung-cu-ve-mat-da-nang-p11203812.html?spid=11203813,17,-50%,Đã bán 91
17,,,https://tiki.vn/long-mi-gia-hieu-ung-3d-tu-nhien-koji-07-flip-fringe-cong-vut-manh-me-o-vien-cho-mat-mot-mi-nhap-khau-nhat-ban-p76008190.html?spid=76008191,18,,
18,Nhíp nhổ long mi chân mày nhổ tóc bạc,7.500₫,https://tiki.vn/nhip-nho-long-mi-chan-may-nho-toc-bac-p144180404.html?spid=144180412,19,,Đã bán 2
19,Kem Trang Điểm Má Hồng – Peach (tone cam đất) (8.5g),293.020₫,https://tiki.vn/kem-trang-diem-ma-hong-moi-mat-mykella-multi-purpose-balm-peach-tone-cam-dat-8-5g-p255427741.html?spid=255427742,20,,
20,Kem BB trang điểm chống nắng Whoo GJH Seol White Sun BB 40ml,858.000₫,https://tiki.vn/kem-bb-trang-diem-chong-nang-whoo-gjh-seol-white-sun-bb-40ml-p58545763.html?spid=58545766,21,,Đã bán 8
21,2 Bông mút tán kem nền phấn phủ có tay cầm,38.000₫,https://tiki.vn/2-bong-mut-tan-kem-nen-phan-phu-co-tay-cam-p86573365.html?spid=86573369,22,,Đã bán 28
22,Bbia Last Velvet Tint - V Edition - Version 4 (5 màu) 5g Bbia Official Store,157.000₫,https://tiki.vn/bbia-last-velvet-tint-v-edition-version-4-5-mau-5g-bbia-official-store-p251265745.html?spid=251265751,23,,Đã bán 10
23,Mascara làm dày và dài mi tự nhiên- Golden Dual Mascara - Nhật Kim Anh - Laura Sunshine,350.000₫,https://tiki.vn/mascara-lam-day-va-dai-mi-tu-nhien-golden-dual-mascara-nhat-kim-anh-laura-sunshine-p199176804.html?spid=199176805,24,,Đã bán 9
24,Túi đựng cọ trang điểm,250.000₫,https://tiki.vn/tui-dung-co-trang-diem-p198073484.html?spid=198073485,25,,Đã bán 1
25,,,https://tiki.vn/son-givenchy-le-rouge-sheer-velvet-mau-27-rouge-infuse-kem-case-p273171703.html?spid=273171704,26,,
26,Bộ trang điểm Naked,50.700₫,https://tiki.vn/bo-trang-diem-naked-p22369362.html?spid=57692162,27,,Đã bán 4
27,"Nhũ bắt sáng dành cho mặt, body Intense Sparkler Highlighter (3.4g) INGLOT",740.000₫,https://tiki.vn/nhu-bat-sang-danh-cho-mat-body-intense-sparkler-highlighter-inglot-3-4-p57909099.html?spid=57909107,28,,Đã bán 1
