,title,price,link_item,index,discount,sales
2,Sữa dưỡng thể cấp ẩm toàn thân cho da nhạy cảm Sebamed pH5.5 Moisturizing Body Lotion 200ml,214.000₫,https://tiki.vn/sua-duong-the-cap-am-toan-than-cho-da-nhay-cam-sebamed-ph5-5-moisturizing-body-lotion-200ml-p55512521.html?spid=55512522,3,,Đã bán 13
3,Mỡ trăn nguyên chất Netta - Chuyên dùng sau khi wax lông lọ 30ml,67.000₫,https://tiki.vn/mo-tran-nguyen-chat-netta-chuyen-dung-sau-khi-wax-long-lo-30ml-p211662577.html?spid=211662582,4,-14%,Đã bán 1
4,,,https://tiki.vn/kem-duong-trang-toan-than-han-quoc-cung-cap-do-am-uc-che-melanin-lam-trang-sang-da-larian-derma-white-body-lotion-p88797429.html?spid=88797430,5,-3%,
5,Nước rửa tay Hữu cơ diệt khuẩn dạng bọt Tinh dầu Thiên nhiên Cam/Quế/Nhài 1000ml thương hiệu ECOCARE ( tặng kèm vỏ tạo bọt),215.000₫,https://tiki.vn/nuoc-rua-tay-huu-co-diet-khuan-dang-bot-tinh-dau-thien-nhien1000ml-thuong-hieu-ecocare-tang-kem-vo-tao-bot-p74622959.html?spid=74622961,6,-8%,Đã bán 87
6,Nước rửa tay cao cấp Enliven hương hoa Phong Lữ và Tiêu Núi - Nhập khẩu Anh,40.000₫,https://tiki.vn/nuoc-rua-tay-cao-cap-enliven-huong-hoa-phong-lu-va-tieu-nui-nhap-khau-anh-p141012148.html?spid=141012149,7,,Đã bán 6
7,Combo Kem Body - Kích Trắng - Tắm Trắng Collagen X3 Dưỡng Trắng Dưỡng Ẩm Da Mỹ Phẩm Đông Anh Chính Hãng CB02,239.000₫,https://tiki.vn/combo-kem-body-kich-trang-tam-trang-collagen-x3-duong-trang-duong-am-da-my-pham-dong-anh-chinh-hang-cb02-p273393390.html?spid=273393391,8,-10%,
8,Dưỡng thể giảm đau Phiten Metax Lotion 120ml,468.000₫,https://tiki.vn/duong-the-giam-dau-phiten-metax-lotion-120ml-p273554500.html?spid=187787414,9,-6%,Đã bán 2
9,,,https://tiki.vn/tay-da-chet-trang-da-nhat-ban-ayami-cosmetics-whitening-peeling-gel-180g-p110918869.html?spid=110918870,10,-50%,
10,"Sữa tắm khử mùi cơ thể Cocayhoala chiết xuất hạt Arabica thơm mùi cà phê, sáng mịn da, dưỡng ẩm, tẩy tế bào chết 300g",180.000₫,https://tiki.vn/sua-tam-khu-mui-co-the-cocayhoala-chiet-xuat-hat-arabica-thom-mui-ca-phe-sang-min-da-duong-am-tay-te-bao-chet-300g-p59306638.html?spid=59306639,11,-24%,Đã bán 136
11,Phấn lạnh cho nam Snake Brand Active Arctic Cool Thái Lan 140g,115.000₫,https://tiki.vn/phan-lanh-cho-nam-snake-brand-active-arctic-cool-thai-lan-140g-p271534817.html?spid=271534818,12,-28%,Đã bán 1
12,,,https://tiki.vn/lan-khu-mui-fogg-50ml-status-lan-khu-mui-nuoc-hoa-nam-lan-khu-mui-unisex-lan-khu-mui-luu-huong-48h-lan-thom-nach-lan-khu-mui-co-the-lan-khu-mui-chinh-hang-lan-khu-mui-luu-huong-lau-lan-khu-mui-khong-gay-o-lan-khu-mui-hoi-nach-p96634633.html?spid=96634635,13,-20%,
13,"Xà bông sữa gạo Ecocare - Tẩy tế bào chết, giảm nhờn và mụn, dưỡng ẩm, sáng da - 100gr",86.000₫,https://tiki.vn/xa-bong-sua-gao-ecocare-tay-te-bao-chet-giam-nhon-va-mun-duong-am-sang-da-100gr-p143513115.html?spid=143513116,14,-25%,Đã bán 16
